Term,Definition
Market Capitalization,"The total market value of a company's outstanding shares of stock, calculated as stock price multiplied by number of shares."
Alternative Minimum Tax (AMT),"A tax imposed to ensure that individuals and corporations that benefit from certain exclusions, deductions, or credits pay at least a minimum amount of tax."
Bear Spread,An options strategy used when a decline in the price of the underlying asset is expected.
Gearing,The ratio of a company's loan capital (debt) to the value of its ordinary shares (equity).
Leveraged Buyout (LBO),The acquisition of another company using a significant amount of borrowed money to meet the cost of acquisition.
Derivative,A security with a price that is dependent upon or derived from one or more underlying assets.
Intrinsic Value,The actual value of a company or an asset based on an underlying perception of its true value including all aspects of the business.
Carry Trade,A strategy in which an investor borrows money at a low-interest rate to invest in an asset that is expected to provide a higher return.
Interest Coverage Ratio,A debt ratio and profitability ratio used to determine how easily a company can pay interest on its outstanding debt.
Capital Gain,An increase in the value of a capital asset that gives it a higher worth than the purchase price.
Laddering,"A technique that involves buying multiple financial products of the same type, such as bonds, with different maturity dates."
Cost of Capital,"The required return necessary to make a capital budgeting project, such as building a new factory, worthwhile."
Exchange-Traded Fund (ETF),"A type of investment fund and exchange-traded product, i.e., they are traded on stock exchanges."
Bear Market,A financial market in which prices are falling or are expected to fall.
Securitization,The process of pooling various types of debt and selling them as bonds to investors.
Expense Ratio,A measure of what it costs an investment company to operate a mutual fund.
Alpha,"A measure of the active return on an investment, the performance of an investment compared to a suitable market index."
Quantitative Easing,A monetary policy whereby a central bank buys predetermined amounts of government bonds or other financial assets to inject liquidity directly into the economy.
Index Fund,A type of mutual fund or ETF that aims to replicate the performance of a specific index.
Real Estate Investment Trust (REIT),"A company that owns, operates, or finances income-producing real estate."
Bank Run,A situation that occurs when a large number of bank customers withdraw their deposits because they believe the bank might become insolvent.
General Obligation Bond,A municipal bond backed by the credit and taxing power of the issuing jurisdiction rather than the revenue from a given project.
Exchange Rate,The value of one currency for the purpose of conversion to another.
Market Risk,The risk of losses in positions arising from movements in market prices.
No-Load Fund,A mutual fund in which shares are sold without a commission or sales charge.
Amortization,The gradual reduction of a debt over a given period.
Interest Rate Swap,A financial derivative contract in which two parties exchange the interest payments on their respective loans.
Amalgamation,The combination of one or more companies into a new entity.
Corporate Bond,A debt security issued by a corporation and sold to investors.
Yield,"The income return on an investment, such as the interest or dividends received from holding a particular security."
Letter of Credit,A document issued by a bank guaranteeing that a buyer's payment to a seller will be received on time and for the correct amount.
Venture Capital,Financing provided to startups and small businesses with high growth potential.
Break-Even Point,The production level where total revenues equal total expenses.
Commercial Paper,An unsecured promissory note with a fixed maturity of rarely more than 270 days.
Economic Order Quantity (EOQ),An inventory management formula used to determine the optimum order quantity that minimizes total inventory costs.
Initial Margin,The percentage of the purchase price of securities that an investor must pay for with their own cash or marginable securities.
Annual Report,A comprehensive report on a company's activities and financial performance throughout the preceding year.
Book Value,"The net value of a company's assets found on its balance sheet, and is roughly equal to the total amount all shareholders would get if they liquidated the company."
Shareholder Equity,"The owners' residual interest in the assets of a corporation, after deducting liabilities."
Chartist,An analyst who uses charts or graphs of a security's historical prices or levels to forecast its future trends.
Default,The failure to repay a debt including interest or principal on a loan or security.
Prospectus,A formal legal document required by and filed with the SEC that provides details about an investment offering for sale to the public.
Net Worth,The value of all the non-financial and financial assets owned by an individual or institution minus the value of all its outstanding liabilities.
Cash Flow,"The net amount of cash being transferred into and out of a business, especially as affecting liquidity."
Liquidity Ratio,A financial metric used to determine a company's ability to pay off its short-term debts.
Credit Line,An arrangement between a financial institution and a customer that establishes a maximum loan balance that the lender permits the borrower to access.
Debt Financing,"When a firm raises money for working capital or capital expenditures by selling bonds, bills, or notes to individual and/or institutional investors."
Ticker Symbol,An abbreviation used to uniquely identify publicly traded shares of a particular stock on a particular stock market.
Appreciation,An increase in the value of an asset over time.
Recession,A period of temporary economic decline during which trade and industrial activity are reduced.
Income Fund,"A mutual fund that primarily seeks to provide a steady income to investors, often in the form of dividends or interest."
Price-to-Book Ratio (P/B Ratio),A ratio used to compare a stock's market value to its book value.
Adjustable-Rate Mortgage (ARM),A mortgage with an interest rate that can change periodically based on the changes in a corresponding financial index.
Pro Forma,A method of calculating financial results using certain projections or presumptions.
Bull Spread,An options strategy used when an increase in the price of the underlying asset is expected.
Going Public,The process of selling shares that were formerly privately held to new investors for the first time.
Discount Rate,The interest rate charged to commercial banks and other depository institutions for loans they receive from their regional Federal Reserve Bank's lending facility.
Opportunity Cost,The loss of potential gain from other alternatives when one alternative is chosen.
Stop-Loss Order,An order placed with a broker to buy or sell once the stock reaches a certain price.
Time Value of Money (TVM),The concept that money available at the present time is worth more than the same amount in the future due to its potential earning capacity.
GAAP (Generally Accepted Accounting Principles),A collection of commonly-followed accounting rules and standards for financial reporting.
Proxy,The authority to act on behalf of a shareholder for the purpose of voting at a shareholder meeting.
Free Cash Flow (FCF),The cash a company generates after accounting for cash outflows to support operations and maintain its capital assets.
Convertible Bond,A type of bond that can be converted into a predetermined amount of the underlying company's equity at certain times during the bond's life.
Equity,"The value of an ownership interest in a company, represented by the difference between assets and liabilities."
Fund of Funds (FOF),A pooled investment fund that invests in other types of funds.
