Term,Definition
Asset,Any resource owned by an individual or business that is expected to provide future economic benefits.
Liability,A company's legal financial debts or obligations that arise during business operations.
Equity,"The value of an ownership interest in a company, represented by the difference between assets and liabilities."
Revenue,The income generated from normal business operations and includes discounts and deductions for returned merchandise.
Net Income,"A company's total earnings, calculated as revenue minus expenses, taxes, and costs of goods sold."
Dividend,"A portion of a company's earnings distributed to shareholders, usually in the form of cash or additional stock."
Market Capitalization,"The total market value of a company's outstanding shares of stock, calculated as stock price multiplied by number of shares."
Earnings Per Share (EPS),A company's profit divided by the outstanding shares of its common stock.
Price-to-Earnings Ratio (P/E Ratio),A valuation ratio of a company's current share price compared to its per-share earnings.
Bull Market,A financial market in which prices are rising or are expected to rise.
Bear Market,A financial market in which prices are falling or are expected to fall.
Volatility,A statistical measure of the dispersion of returns for a given security or market index.
Portfolio,A range of investments held by an individual or institution.
Asset Allocation,"An investment strategy that aims to balance risk and reward by apportioning a portfolio's assets according to an individual's goals, risk tolerance, and investment horizon."
Mutual Fund,"An investment vehicle made up of a pool of money collected from many investors to invest in securities such as stocks, bonds, money market instruments, and other assets."
Exchange-Traded Fund (ETF),"A type of investment fund and exchange-traded product, i.e., they are traded on stock exchanges."
Index Fund,A type of mutual fund or ETF that aims to replicate the performance of a specific index.
Bond,A fixed income instrument that represents a loan made by an investor to a borrower (typically corporate or governmental).
Yield,"The income return on an investment, such as the interest or dividends received from holding a particular security."
Capital Gain,An increase in the value of a capital asset that gives it a higher worth than the purchase price.
Risk,"The potential for losing something of value, measured by the probability of an adverse event occurring."
Return on Investment (ROI),A performance measure used to evaluate the efficiency or profitability of an investment.
Liquidity,"The availability of liquid assets to a market or company, and the ability to convert an asset to cash quickly."
Leverage,The use of various financial instruments or borrowed capital to increase the potential return of an investment.
Hedge,An investment to reduce the risk of adverse price movements in an asset.
Derivative,A security with a price that is dependent upon or derived from one or more underlying assets.
Options,"A financial derivative that gives the buyer the right, but not the obligation, to buy or sell an asset at a specified price on or before a certain date."
Futures,A financial contract obligating the buyer to purchase an asset or the seller to sell an asset at a predetermined future date and price.
Inflation,"The rate at which the general level of prices for goods and services is rising, and subsequently, the purchasing power of currency is falling."
Deflation,The reduction of the general level of prices in an economy.
Gross Domestic Product (GDP),The total value of goods produced and services provided in a country during one year.
Recession,A period of temporary economic decline during which trade and industrial activity are reduced.
Interest Rate,The amount charged by a lender to a borrower for the use of assets.
Credit Rating,An assessment of the creditworthiness of a borrower in general terms or with respect to a particular debt or financial obligation.
Bankruptcy,A legal proceeding involving a person or business that is unable to repay their outstanding debts.
Fiscal Policy,The use of government revenue collection and expenditure to influence the economy.
Monetary Policy,"The process by which a central bank, currency board, or other regulatory committee controls the money supply."
Quantitative Easing,A monetary policy whereby a central bank buys predetermined amounts of government bonds or other financial assets to inject liquidity directly into the economy.
Default,The failure to repay a debt including interest or principal on a loan or security.
Balance Sheet,"A financial statement that summarizes a company's assets, liabilities, and shareholders' equity at a specific point in time."
Income Statement,A financial statement that shows a company's financial performance over a specific accounting period.
Cash Flow Statement,A financial statement that shows the changes in the balance sheet accounts and income affects cash and cash equivalents.
Blue Chip Stock,"The stock of a large, well-established, and financially sound company that has operated for many years."
Small Cap Stock,Stocks with a relatively small market capitalization.
Large Cap Stock,Stocks with a relatively large market capitalization.
Mid Cap Stock,Stocks with a market capitalization between small cap and large cap stocks.
Growth Stock,A company stock that is expected to grow at an above-average rate compared to other companies.
Value Stock,A stock that tends to trade at a lower price relative to its fundamentals and is thus considered undervalued.
Dividend Stock,A stock that pays regular dividends.
Initial Public Offering (IPO),The process through which a private company becomes publicly traded by offering its shares to the public for the first time.
Secondary Market,"The market where investors purchase securities or assets from other investors, rather than from issuing companies directly."
Primary Market,The market where securities are created and sold for the first time.
Arbitrage,The simultaneous purchase and sale of an asset to profit from a difference in the price.
Asset-Backed Security,"A financial security backed by a loan, lease, or receivables against assets other than real estate."
Beta,A measure of a stock's volatility in relation to the overall market.
Book Value,"The net value of a company's assets found on its balance sheet, and is roughly equal to the total amount all shareholders would get if they liquidated the company."
Call Option,A financial contract that gives the option buyer the right to buy an asset at a specified price within a specific time period.
Cash Flow,"The net amount of cash being transferred into and out of a business, especially as affecting liquidity."
Collateral,An asset that a borrower offers to a lender to secure a loan.
Coupon Rate,"The yield paid by a fixed-income security, which is the annual coupon payments divided by the bond's face or par value."
Credit Default Swap,A financial derivative or contract that allows an investor to 'swap' or offset their credit risk with that of another investor.
Current Ratio,A liquidity ratio that measures a company's ability to pay short-term obligations or those due within one year.
Debt-to-Equity Ratio,A financial ratio indicating the relative proportion of shareholders' equity and debt used to finance a company's assets.
Debenture,A type of debt instrument that is not secured by physical assets or collateral.
Dividend Yield,A financial ratio that shows how much a company pays out in dividends each year relative to its share price.
EBITDA,"Earnings before interest, taxes, depreciation, and amortization; a measure of a company's overall financial performance."
Enterprise Value (EV),"A measure of a company's total value, often used as a more comprehensive alternative to equity market capitalization."
Exchange Rate,The value of one currency for the purpose of conversion to another.
Expense Ratio,A measure of what it costs an investment company to operate a mutual fund.
Free Cash Flow (FCF),The cash a company generates after accounting for cash outflows to support operations and maintain its capital assets.
Hedge Fund,"An alternative investment vehicle that uses pooled funds and employs numerous different strategies to earn active return, or alpha, for its investors."
Index,A statistical measure of the changes in a portfolio of stocks representing a portion of the overall market.
Interest Coverage Ratio,A debt ratio and profitability ratio used to determine how easily a company can pay interest on its outstanding debt.
Leveraged Buyout (LBO),The acquisition of another company using a significant amount of borrowed money to meet the cost of acquisition.
Market Order,An order to buy or sell a stock at the current market price.
Municipal Bond,"A bond issued by a local government or territory, or one of their agencies."
Par Value,The face value of a bond.
Preferred Stock,A class of ownership in a corporation that has a higher claim on its assets and earnings than common stock.
Price-to-Book Ratio (P/B Ratio),A ratio used to compare a stock's market value to its book value.
Put Option,A financial contract that gives the option buyer the right to sell an asset at a specified price within a specific time period.
Return on Equity (ROE),A measure of financial performance calculated by dividing net income by shareholders' equity.
Securities and Exchange Commission (SEC),A U.S. government agency responsible for enforcing the laws concerning the trading of securities.
Securitization,The process of pooling various types of debt and selling them as bonds to investors.
Short Selling,The sale of a security that the seller has borrowed with the intention of buying it back later at a lower price.
Spread,The difference between the bid and the ask price of a security or asset.
Treasury Bond (T-Bond),A long-term government debt security with a fixed interest rate and maturity of more than 10 years.
Venture Capital,Financing provided to startups and small businesses with high growth potential.
Volume,The number of shares or contracts traded in a security or an entire market during a given period.
Yield Curve,A line that plots the interest rates of bonds having equal credit quality but differing maturity dates.
Zero-Coupon Bond,"A bond that does not pay interest but is traded at a deep discount, rendering profit at maturity when the bond is redeemed for its full face value."
Asset Turnover,A financial ratio that measures the efficiency of a company's use of its assets to generate sales revenue.
Capital Structure,"The mix of different forms of capital used to finance a company, including equity, debt, and hybrid securities."
Commercial Paper,An unsecured promissory note with a fixed maturity of rarely more than 270 days.
Cost of Capital,"The required return necessary to make a capital budgeting project, such as building a new factory, worthwhile."
Covenant,A clause in a loan agreement that requires the borrower to do or refrain from doing certain things.
Deferred Tax,A tax liability or asset resulting from temporary differences between the accounting and tax treatment of transactions.
Discount Rate,The interest rate charged to commercial banks and other depository institutions for loans they receive from their regional Federal Reserve Bank's lending facility.
Economic Order Quantity (EOQ),An inventory management formula used to determine the optimum order quantity that minimizes total inventory costs.
Equity Multiplier,A financial leverage ratio that measures the proportion of a company's assets that are financed by its shareholders' equity.
Financial Leverage,The use of borrowed funds to increase the potential return on investment.
Fixed Asset,A long-term tangible piece of property or equipment that a firm owns and uses in its operations to generate income.
Floating Rate Note (FRN),A debt instrument with a variable interest rate.
Foreign Exchange Market (Forex),A global decentralized or over-the-counter market for trading currencies.
Forward Contract,A customized contractual agreement to buy or sell an asset at a specified price on a future date.
Fund of Funds (FOF),A pooled investment fund that invests in other types of funds.
Goodwill,An intangible asset that arises when a buyer acquires an existing business.
Gross Margin,"The difference between revenue and cost of goods sold, divided by revenue, expressed as a percentage."
Haircut,The difference between the market value of an asset and the amount that can be used as collateral for a loan.
Initial Margin,The percentage of the purchase price of securities that an investor must pay for with their own cash or marginable securities.
Insider Trading,"The trading of a public company's stock or other securities based on material, nonpublic information about the company."
Intangible Asset,"An asset that is not physical in nature, such as a trademark, patent, or goodwill."
Interest Rate Swap,A financial derivative contract in which two parties exchange the interest payments on their respective loans.
Intrinsic Value,The actual value of a company or an asset based on an underlying perception of its true value including all aspects of the business.
Junk Bond,"A high-yield, high-risk security typically issued by a company seeking to raise capital quickly to finance a takeover."
Laddering,"A technique that involves buying multiple financial products of the same type, such as bonds, with different maturity dates."
Lease,"A contractual agreement in which one party, the lessee, pays the lessor for the use of an asset."
Liquidity Ratio,A financial metric used to determine a company's ability to pay off its short-term debts.
Load Fund,A mutual fund that comes with a sales charge or commission.
Lock-Up Period,A predetermined amount of time following an initial public offering during which investors are not allowed to sell their shares.
Management Buyout (MBO),A form of acquisition where a company's existing managers acquire a large part or all of the company.
Market Value,The current quoted price at which investors buy or sell a share of common stock or a bond at a given time.
Merger,A combination of two companies to form a new company.
Microcap Stock,"A stock with a small market capitalization, typically between $50 million and $300 million."
Money Market,The part of the financial market in which financial instruments with high liquidity and short maturities are traded.
Mortgage-Backed Security (MBS),A type of asset-backed security that is secured by a collection of mortgages.
Net Asset Value (NAV),The value per share of a mutual fund or an ETF on a specific date or time.
No-Load Fund,A mutual fund in which shares are sold without a commission or sales charge.
Option Premium,The income received by an investor who sells or 'writes' an option contract to another party.
Over-The-Counter (OTC),"The trading of securities, currencies, or other financial instruments directly between two parties without a central exchange or broker."
Penny Stock,A small company's stock that typically trades for less than $5 per share.
Share Buyback,The repurchase of a company's own shares from the marketplace.
Stock Split,"An increase in the number of shares of a company's stock, without a change in shareholders' equity."
Stop-Loss Order,An order placed with a broker to buy or sell once the stock reaches a certain price.
Swing Trading,A type of trading that attempts to capture gains in a stock within an overnight hold to several weeks.
Treasury Note (T-Note),A marketable U.S. government debt security with a fixed interest rate and a maturity between one and 10 years.
Underwriting,The process by which investment bankers raise investment capital from investors on behalf of corporations and governments that are issuing securities.
Volatility Index (VIX),A measure of the stock market's expectation of volatility based on S&P 500 index options.
Amortization,The gradual reduction of a debt over a given period.
Annuity,A financial product that provides regular payments over a specified period.
Balance of Payments,A statement that summarizes an economy’s transactions with the rest of the world for a specified time period.
Bank Run,A situation that occurs when a large number of bank customers withdraw their deposits because they believe the bank might become insolvent.
Bearish,An expectation that prices will decline in the future.
Book Value per Share,A measure of a company's net asset value on a per-share basis.
Broker,An individual or firm that acts as an intermediary between an investor and a securities exchange.
Bullish,An expectation that prices will rise in the future.
Buy and Hold,A long-term investment strategy where an investor buys stocks and holds them for a long period regardless of fluctuations in the market.
Capital Expenditure (CapEx),"Funds used by a company to acquire, upgrade, and maintain physical assets such as property, industrial buildings, or equipment."
Capital Gains Tax,A tax on the profit realized from the sale of a non-inventory asset.
Carry Trade,A strategy in which an investor borrows money at a low-interest rate to invest in an asset that is expected to provide a higher return.
Certificate of Deposit (CD),A savings certificate with a fixed maturity date and specified fixed interest rate.
Commodity,A basic good used in commerce that is interchangeable with other commodities of the same type.
Compound Interest,"Interest calculated on the initial principal, which also includes all of the accumulated interest from previous periods."
Corporate Bond,A debt security issued by a corporation and sold to investors.
Cost of Goods Sold (COGS),The direct costs attributable to the production of the goods sold by a company.
Credit Line,An arrangement between a financial institution and a customer that establishes a maximum loan balance that the lender permits the borrower to access.
Current Assets,Cash and other assets that are expected to be converted to cash within a year.
Current Liabilities,A company's debts or obligations that are due within one year.
Debt Financing,"When a firm raises money for working capital or capital expenditures by selling bonds, bills, or notes to individual and/or institutional investors."
Depreciation,"The reduction in the value of an asset over time, due to wear and tear."
Dilution,A reduction in the ownership percentage of a share of stock caused by the issuance of new shares.
Discount Bond,"A bond that is issued for less than its par (or face) value, or a bond currently trading for less than its par value in the secondary market."
Dividends Per Share (DPS),The sum of declared dividends issued by a company for every ordinary share outstanding.
Earnings Before Interest and Taxes (EBIT),A measure of a firm's profit that includes all expenses except interest and income tax expenses.
Earnings Yield,The earnings per share for the most recent 12-month period divided by the current market price per share.
Equity Financing,The process of raising capital through the sale of shares in an enterprise.
Face Value,The nominal value or dollar value of a security stated by the issuer.
Fundamental Analysis,"A method of measuring a security's intrinsic value by examining related economic, financial, and other qualitative and quantitative factors."
GAAP (Generally Accepted Accounting Principles),A collection of commonly-followed accounting rules and standards for financial reporting.
Insider Information,Non-public facts about a company known by its employees and other individuals with a duty of confidentiality.
Market Liquidity,The extent to which a market allows assets to be bought and sold at stable prices.
Net Worth,The value of all the non-financial and financial assets owned by an individual or institution minus the value of all its outstanding liabilities.
Operating Margin,A measure of profitability that shows the percentage of revenue that exceeds operating costs.
Opportunity Cost,The loss of potential gain from other alternatives when one alternative is chosen.
Overhead,The ongoing administrative expenses of a business that are not directly attributable to a specific business activity.
Payback Period,The time required for the return on an investment to repay the sum of the original investment.
Perpetuity,A constant stream of identical cash flows with no end.
Preferred Dividend,A dividend that is accrued and paid on a company's preferred shares.
Pro Forma,A method of calculating financial results using certain projections or presumptions.
Prospectus,A formal legal document required by and filed with the SEC that provides details about an investment offering for sale to the public.
Proxy,The authority to act on behalf of a shareholder for the purpose of voting at a shareholder meeting.
Put-Call Parity,A principle that defines the relationship between the price of European put and call options of the same class.
Red Herring,"A preliminary prospectus filed by a company with the SEC, usually in connection with an IPO."
Retained Earnings,The portion of net income that is retained by the corporation rather than distributed to its owners as dividends.
Risk-Free Rate,The theoretical rate of return of an investment with zero risk.
Shareholder Equity,"The owners' residual interest in the assets of a corporation, after deducting liabilities."
Short Interest,The total number of shares of a particular stock that have been sold short by investors but have not yet been covered or closed out.
Sovereign Debt,Debt issued by a national government in a foreign currency in order to finance the issuing country's growth.
Spot Market,A public financial market in which financial instruments or commodities are traded for immediate delivery.
Stock Option,"A privilege, sold by one party to another, that gives the buyer the right, but not the obligation, to buy or sell a stock at an agreed-upon price within a certain period."
Structured Product,"A pre-packaged investment strategy based on derivatives such as a single security, a basket of securities, options, indices, commodities, debt issuance, and/or foreign currencies."
Subprime Loan,A type of loan offered to individuals who do not qualify for conventional loans due to their poor credit scores.
Swap,"A derivative contract through which two parties exchange financial instruments, such as interest rates, commodities, or currencies."
Tax Lien,A legal claim by a government entity against a noncompliant taxpayer's assets.
Tender Offer,A public offer to purchase some or all of shareholders' shares in a corporation.
Ticker Symbol,An abbreviation used to uniquely identify publicly traded shares of a particular stock on a particular stock market.
